Date,Open,High,Low,Close,Adj Close,Volume
2005-03-01,25.150000,25.315001,22.910000,23.600000,16.604019,1840600
2005-04-01,24.059999,24.080000,22.575001,23.049999,16.217058,2000800
2005-05-01,23.100000,24.094999,22.995001,23.719999,16.688444,3141400
2005-06-01,23.500000,25.045000,23.450001,24.540001,17.265364,2482800
2005-07-01,24.775000,26.490000,24.254999,26.250000,18.468452,1999200
2005-08-01,26.580000,27.590000,25.980000,26.625000,18.732288,3490600
2005-09-01,26.805000,29.150000,26.735001,28.815001,20.273083,3319800
2005-10-01,28.764999,28.990000,25.620001,27.184999,19.126280,3639800
2005-11-01,27.389999,29.375000,27.215000,29.080000,20.459524,2671000
2005-12-01,29.344999,31.105000,29.344999,30.440001,21.416365,4204000
2006-01-01,31.139999,33.994999,30.965000,33.980000,24.330088,12897800
2006-02-01,33.994999,34.119999,32.200001,33.250000,23.807396,6421200
2006-03-01,33.685001,34.125000,31.260000,33.639999,24.086639,6599200
2006-04-01,34.134998,36.540001,34.000000,36.264999,25.966177,6609800
2006-05-01,36.525002,38.255001,31.125000,32.169998,23.034103,10140400
2006-06-01,32.200001,33.605000,27.750000,32.139999,23.012623,12328000
2006-07-01,32.000000,33.090000,29.950001,32.735001,23.438656,6286200
2006-08-01,32.500000,34.400002,31.920000,33.220001,23.785919,4745600
2006-09-01,33.259998,34.099998,32.150002,33.570000,24.036518,3971600
2006-10-01,33.715000,35.540001,33.075001,35.275002,25.257322,9692400
2006-11-01,35.639999,37.950001,35.130001,37.860001,27.108219,7153800
2006-12-01,37.994999,39.000000,37.334999,38.695000,27.706078,9898400
2007-01-01,39.134998,39.549999,36.125000,38.724998,28.217619,19278800
2007-02-01,38.959999,40.400002,36.020000,37.825001,27.561811,18575400
2007-03-01,37.244999,40.430000,35.025002,39.435001,28.734978,20044000
2007-04-01,39.509998,42.490002,39.375000,40.935001,29.827978,13336200
2007-05-01,41.255001,43.875000,40.799999,43.660000,31.813578,15446600
2007-06-01,44.259998,46.375000,42.544998,45.645000,33.260002,13253400
2007-07-01,46.220001,50.320000,45.759998,47.250000,34.429497,23753000
2007-08-01,46.509998,48.200001,38.860001,47.244999,34.425858,27767000
2007-09-01,46.180000,52.419998,45.700001,51.889999,37.810509,20483400
2007-10-01,52.465000,58.924999,50.005001,58.639999,42.729019,35482800
2007-11-01,57.125000,57.450001,48.750000,53.639999,39.085686,36861200
2007-12-01,53.849998,56.529999,50.000000,52.150002,37.999973,26865600
2008-01-01,52.125000,53.305000,42.775002,47.445000,35.223106,54256400
2008-02-01,47.790001,51.150002,45.134998,48.810001,36.236492,34632600
2008-03-01,48.744999,49.314999,43.474998,47.014999,34.903885,39625200
2008-04-01,47.549999,51.525002,47.255001,50.980000,37.847492,37314400
2008-05-01,50.924999,54.160000,50.610001,51.889999,38.523079,40461400
2008-06-01,52.185001,52.235001,46.020000,46.799999,34.744267,34712400
2008-07-01,45.639999,46.099998,42.750000,44.590000,33.103561,43210600
