Date,Open,High,Low,Close,Adj Close,Volume
2007-07-01,48.480000,48.669998,47.150002,47.900002,33.189411,1188800
2007-08-01,47.680000,49.000000,43.689999,47.860001,33.161701,6106300
2007-09-01,47.619999,50.310001,46.360001,50.139999,34.741497,3642300
2007-10-01,50.139999,52.599998,49.389999,52.360001,36.279713,7556100
2007-11-01,51.549999,51.549999,47.810001,50.389999,34.914719,6605100
2007-12-01,50.450001,51.529999,47.500000,47.919998,33.203274,7613800
2008-01-01,48.270000,56.110001,40.150002,44.380001,31.430906,8562100
2008-02-01,45.400002,45.639999,41.610001,43.930000,31.112225,7753000
2008-03-01,43.919998,45.150002,41.509998,44.080002,31.218445,7370000
2008-04-01,44.369999,47.529999,44.369999,46.450001,32.908993,7466900
2008-05-01,46.560001,48.290001,46.119999,47.009998,33.305740,5546400
2008-06-01,48.250000,48.250000,42.259998,42.930000,30.415129,6723100
2008-07-01,42.209999,43.040001,40.070000,41.439999,29.359489,21027100
2008-08-01,41.369999,41.610001,38.500000,39.779999,28.183413,16062600
2008-09-01,40.220001,40.220001,32.779999,35.169998,24.917315,15799000
2008-10-01,34.790001,35.220001,23.500000,27.940001,19.794987,26846300
2008-11-01,27.760000,29.920000,22.299999,26.090000,18.484299,27077600
2008-12-01,25.200001,28.600000,23.750000,27.469999,19.461996,72310000
2009-01-01,27.360001,27.830000,22.650000,23.620001,17.327044,25492800
2009-02-01,22.750000,25.030001,21.030001,21.240000,15.581128,22285700
2009-03-01,20.950001,24.850000,19.270000,23.010000,16.879559,33704200
2009-04-01,22.840000,26.170000,22.820000,25.730000,18.890827,32797700
2009-05-01,25.830000,29.090000,25.709999,29.090000,21.357723,21323700
2009-06-01,29.660000,30.080000,27.700001,28.559999,20.968603,16698300
2009-07-01,29.150000,31.740000,27.240000,31.580000,23.185867,19649600
2009-08-01,32.160000,34.270000,31.000000,33.000000,24.228422,13067300
2009-09-01,32.720001,35.250000,31.959999,34.299999,25.182877,26168900
2009-10-01,34.080002,36.009998,32.840000,33.349998,24.485395,24448200
2009-11-01,33.660000,36.099998,33.040001,34.720001,25.491243,18902800
2009-12-01,35.410000,36.099998,33.990002,34.200001,25.109463,19550300
2010-01-01,35.180000,35.840000,32.340000,32.340000,24.296976,21499100
2010-02-01,32.880001,33.599998,30.830000,32.580002,24.477295,21178200
2010-03-01,32.669998,34.939999,32.509998,34.619999,26.009937,26188900
2010-04-01,34.980000,35.900002,33.220001,33.660000,25.296804,31951900
2010-05-01,33.750000,33.990002,26.980000,29.780001,22.380833,48920100
