Date,Open,High,Low,Close,Adj Close,Volume
2004-01-01,48.630001,49.220001,48.630001,49.220001,36.575829,8700
2004-02-01,49.200001,51.919998,48.299999,51.619999,38.359283,102500
2004-03-01,52.080002,52.500000,48.139999,50.849998,37.787086,170500
2004-04-01,51.299999,51.980000,48.500000,48.689999,36.181976,49800
2004-05-01,48.689999,49.759998,45.799999,49.520000,36.798756,26100
2004-06-01,49.520000,52.400002,48.930000,52.400002,38.938919,55400
2004-07-01,52.340000,52.340000,49.200001,51.270000,38.099197,96300
2004-08-01,50.939999,52.419998,48.950001,52.090000,38.708549,172900
2004-09-01,52.419998,54.709999,52.099998,54.669998,40.625763,395600
2004-10-01,54.910000,55.950001,52.029999,53.959999,40.098156,128900
2004-11-01,54.150002,59.500000,53.869999,59.169998,43.969753,131000
2004-12-01,59.200001,59.810001,56.610001,58.889999,43.761692,122800
2005-01-01,59.040001,59.040001,55.570000,57.000000,43.059147,128700
2005-02-01,57.150002,62.400002,57.110001,61.799999,46.685181,264200
2005-03-01,62.049999,63.500000,58.180000,59.560001,44.993034,456600
2005-04-01,59.970001,60.320000,53.750000,55.080002,41.608742,322300
2005-05-01,55.150002,56.980000,52.419998,55.080002,41.608742,195100
2005-06-01,55.189999,57.700001,54.200001,54.459999,41.140366,149300
2005-07-01,54.700001,58.310001,53.750000,57.799999,43.663486,207300
2005-08-01,57.680000,58.869999,54.650002,55.740002,42.107311,352400
2005-09-01,55.900002,57.110001,54.310001,56.099998,42.379261,186200
2005-10-01,56.029999,56.090000,52.540001,55.599998,42.001549,231900
2005-11-01,55.599998,60.230000,55.599998,59.680000,45.083683,167600
2005-12-01,60.040001,61.400002,59.560001,59.939999,45.280087,145000
2006-01-01,60.180000,63.930000,59.860001,63.570000,48.800903,377300
2006-02-01,63.700001,64.180000,61.259998,62.630001,48.079300,235200
2006-03-01,62.849998,66.860001,61.310001,65.879997,50.574234,234600
2006-04-01,66.000000,69.690002,65.779999,67.779999,52.032810,368400
2006-05-01,68.599998,70.800003,62.110001,64.629997,49.614635,548900
2006-06-01,64.419998,66.150002,58.500000,64.389999,49.430401,301800
2006-07-01,65.300003,65.370003,59.860001,61.939999,47.549599,226000
2006-08-01,61.750000,63.810001,61.009998,63.630001,48.846962,238600
2006-09-01,63.880001,64.910004,61.630001,63.840000,49.008183,189700
2006-10-01,63.840000,68.250000,62.480000,67.809998,52.055828,208500
2006-11-01,68.300003,71.320000,67.180000,71.199997,54.658237,250900
2006-12-01,71.070000,72.980003,69.610001,70.510002,54.128544,244500
2007-01-01,70.860001,74.500000,68.860001,74.379997,58.005943,386600
2007-02-01,74.910004,79.980003,74.440002,76.279999,59.487686,769200
2007-03-01,74.760002,79.000000,73.269997,77.760002,60.641869,799200
2007-04-01,78.000000,81.849998,77.599998,80.199997,62.544731,649100
2007-05-01,79.959999,85.180000,78.940002,84.750000,66.093094,794300
2007-06-01,85.330002,86.230003,82.000000,84.410004,65.827950,662600
2007-07-01,85.290001,90.320000,80.570000,82.089996,64.018669,1595700
2007-08-01,82.190002,83.070000,72.209999,82.139999,64.057655,877100
2007-09-01,81.669998,88.720001,79.389999,87.940002,68.580864,583900
2007-10-01,88.480003,92.000000,86.089996,91.870003,71.645691,901200
2007-11-01,89.940002,90.680000,80.889999,87.610001,68.323486,798600
2007-12-01,87.930000,92.050003,83.599998,87.940002,68.580864,589200
2008-01-01,87.610001,88.639999,65.849998,83.779999,66.277870,1736100
2008-02-01,84.339996,90.639999,80.000000,86.610001,68.516670,1357900
2008-03-01,86.029999,88.239998,79.459999,84.940002,67.195557,3477600
2008-04-01,85.849998,95.000000,84.139999,89.980003,71.182678,3014300
2008-05-01,89.730003,98.500000,87.790001,95.199997,75.312180,4559700
2008-06-01,94.910004,97.400002,89.080002,90.010002,71.206390,10654600
2008-07-01,89.040001,90.489998,81.139999,86.629997,68.532509,51166000
2008-08-01,86.830002,86.830002,80.419998,84.290001,66.681343,14725600
2008-09-01,84.029999,84.040001,65.029999,68.309998,54.039658,8200000
2008-10-01,67.889999,68.379997,41.889999,52.270000,41.350498,7242600
2008-11-01,52.389999,55.000000,36.810001,46.290001,36.619762,3690600
2008-12-01,45.049999,50.000000,40.320000,45.400002,35.915684,2990000
2009-01-01,45.520000,48.880001,41.580002,42.049999,34.450420,3879400
2009-02-01,41.320000,46.270000,37.840000,38.389999,31.451885,7447000
2009-03-01,37.400002,46.500000,34.939999,43.919998,35.982452,4075100
2009-04-01,43.389999,51.630001,42.820000,51.009998,41.791111,3517400
2009-05-01,51.320000,56.090000,50.139999,54.410000,44.576637,4305900
