Date,VTI,VTMGX,VEMAX,MUB,VIG,VDE
2004-07-01,39.705074,5.759331,,,,
2004-08-01,39.727482,5.785333,,,,
2004-09-01,40.250412,5.941343,,,,38.116924
2004-10-01,41.122807,6.136351,,,,38.064003
2004-11-01,43.072117,6.558877,,,,40.929192
2004-12-01,44.252953,6.714886,,,,39.621342
2005-01-01,43.434464,6.712863,,,,41.270287
2005-02-01,44.340134,6.997815,,,,48.10186
2005-03-01,43.343895,6.82552,,,,46.758324
2005-04-01,42.551708,6.694251,,,,43.8587
2005-05-01,44.203331,6.667737,,,,45.240192
2005-06-01,44.385166,6.740647,,,,48.397896
2005-07-01,46.488506,6.959368,,,,51.935116
2005-08-01,45.982948,7.184719,,,,55.183926
2005-09-01,46.127396,7.482976,,,,58.842628
2005-10-01,45.25848,7.270884,,,,53.574718
2005-11-01,47.347618,7.40344,,,,54.455223
2005-12-01,47.103191,7.60891,,,,54.796818
2006-01-01,48.880367,8.259042,,,,63.255516
2006-02-01,48.987881,8.204838,,,,57.50848
2006-03-01,49.790386,8.496173,,,,60.221069
2006-04-01,50.470413,8.912335,,,,63.470058
2006-05-01,48.84346,8.607352,,,37.571568,61.562042
2006-06-01,48.696976,8.580243,19.062754,,37.426949,62.834064
2006-07-01,48.850052,8.668348,19.298979,,37.586475,64.879974
2006-08-01,49.972954,8.898782,19.68553,,38.440529,61.983501
2006-09-01,50.894516,8.919114,19.843012,,39.164951,59.692356
2006-10-01,52.906319,9.264761,20.780762,,40.373367,62.473904
2006-11-01,54.138783,9.549417,22.334129,,40.710075,67.883751
2006-12-01,54.511997,9.596855,22.863848,,41.169212,65.140526
2007-01-01,55.809162,9.946112,23.123924,,42.007439,65.102898
2007-02-01,54.902584,9.973857,22.825401,,41.277077,64.196983
2007-03-01,55.281635,10.244356,23.779192,,41.253994,68.262039
2007-04-01,57.750969,10.636432,24.776659,,43.229771,71.924446
2007-05-01,59.901516,10.907022,26.254681,,44.30204,77.267113
2007-06-01,58.622173,10.893147,27.43417,,43.445759,78.304665
2007-07-01,56.765633,10.657243,28.628222,,42.493587,77.793625
2007-08-01,57.600769,10.587862,28.358839,,43.468849,78.265953
2007-09-01,59.562542,11.149861,31.409506,71.168633,44.792408,84.135139
2007-10-01,60.888592,11.649422,35.282913,71.387642,44.812897,85.970207
2007-11-01,58.135143,11.212308,32.465218,71.953018,43.9039,82.369705
2007-12-01,57.423042,10.684998,31.744419,72.473068,43.468826,87.882736
2008-01-01,54.171658,10.069819,28.783567,73.084846,41.38483,78.801659
2008-02-01,52.819359,9.998909,30.112164,69.48172,40.74453,85.633957
2008-03-01,52.103428,10.005999,28.983974,71.664307,41.400448,83.502274
2008-04-01,54.904194,10.534646,31.329418,72.775581,42.636608,92.762978
2008-05-01,56.011093,10.676525,31.893511,73.221092,42.777744,97.580696
2008-06-01,51.219948,9.761395,28.590601,71.96315,39.202488,100.938286
2008-07-01,51.14135,9.420882,27.410444,72.370544,39.833893,86.360146
2008-08-01,51.888115,9.016521,25.280266,73.402885,40.661648,85.774498
2008-09-01,46.861507,7.916946,21.175747,70.955933,37.721199,72.797081
2008-10-01,38.862293,6.29241,15.31215,70.211716,32.579639,58.203297
2008-11-01,35.747505,5.916426,14.10974,69.816803,31.747322,56.563549
2008-12-01,36.102543,6.200188,14.540235,73.205208,31.818676,52.596905
2009-01-01,33.451614,5.590266,14.018375,73.7341,29.585667,52.531528
2009-02-01,29.93082,5.003361,13.17634,73.874878,26.473904,46.108185
2009-03-01,32.183159,5.39952,15.281434,74.084915,28.117567,47.888916
2009-04-01,35.968384,6.050069,17.752975,75.796555,30.403845,52.388432
2009-05-01,37.93343,6.857724,20.980787,75.868721,31.907545,59.749866
