Date,Open,High,Low,Close,Adj Close,Volume
1994-05-01,10.000000,11.050000,9.880000,11.050000,6.457895,0
1994-06-01,11.000000,11.090000,10.470000,10.570000,6.177371,0
1994-07-01,10.520000,11.410000,10.520000,11.410000,6.668287,0
1994-08-01,11.590000,12.850000,11.590000,12.830000,7.498171,0
1994-09-01,12.940000,13.120000,12.840000,12.870000,7.521548,0
1994-10-01,12.820000,12.830000,12.370000,12.670000,7.404661,0
1994-11-01,12.590000,12.610000,11.670000,11.900000,6.954658,0
1994-12-01,11.800000,11.800000,10.700000,10.870000,6.352699,0
1995-01-01,10.590000,10.590000,9.460000,9.710000,5.712135,0
1995-02-01,9.790000,10.210000,9.490000,9.750000,5.735665,0
1995-03-01,9.720000,9.720000,8.860000,9.650000,5.676839,0
1995-04-01,9.530000,10.200000,9.530000,10.150000,5.970974,0
1995-05-01,10.110000,11.090000,10.110000,10.930000,6.429828,0
1995-06-01,11.140000,11.370000,10.870000,10.870000,6.394530,0
1995-07-01,10.850000,11.580000,10.850000,11.180000,6.576896,0
1995-08-01,11.140000,11.320000,10.870000,10.910000,6.418062,0
1995-09-01,10.930000,11.170000,10.820000,10.930000,6.429828,0
1995-10-01,10.790000,10.900000,10.410000,10.460000,6.153339,0
1995-11-01,10.360000,10.500000,9.810000,10.500000,6.176869,0
1995-12-01,10.600000,10.970000,10.560000,10.740000,6.318057,0
1996-01-01,10.850000,11.850000,10.850000,11.850000,7.087655,0
1996-02-01,11.940000,12.130000,11.660000,11.660000,6.974013,0
1996-03-01,11.800000,11.950000,11.270000,11.830000,7.075694,0
1996-04-01,11.870000,12.190000,11.840000,12.150000,7.267090,0
1996-05-01,12.160000,12.330000,12.020000,12.330000,7.374749,0
1996-06-01,12.250000,12.330000,12.080000,12.330000,7.374749,0
1996-07-01,12.330000,12.400000,11.490000,11.500000,6.878315,0
1996-08-01,11.690000,11.940000,11.690000,11.860000,7.093635,0
1996-09-01,11.740000,12.150000,11.740000,12.130000,7.255127,0
1996-10-01,12.180000,12.280000,11.880000,11.950000,7.147467,0
1996-11-01,11.990000,12.470000,11.990000,12.370000,7.398676,0
1996-12-01,12.380000,12.490000,12.020000,12.280000,7.344843,0
1997-01-01,12.200000,12.990000,12.200000,12.910000,7.823341,0
1997-02-01,12.970000,13.530000,12.970000,13.300000,8.059677,0
