Date,Open,High,Low,Close,Adj Close,Volume
2007-04-01,75.070000,75.550003,74.849998,75.489998,51.574684,953400
2007-05-01,75.370003,75.519997,74.669998,74.769997,51.082775,1022300
2007-06-01,74.430000,74.430000,73.339996,74.279999,50.833477,2492000
2007-07-01,74.099998,74.730003,73.589996,74.730003,51.318558,966000
2007-08-01,74.459999,90.910004,74.230003,75.529999,52.031132,1423600
2007-09-01,75.290001,76.139999,75.050003,75.690002,52.354366,1655400
2007-10-01,75.279999,76.610001,75.209999,76.099998,52.843620,2761000
2007-11-01,75.940002,77.540001,71.360001,77.300003,53.878372,2247000
2007-12-01,77.250000,77.430000,76.000000,77.379997,54.136868,5547800
2008-01-01,78.260002,79.349998,76.910004,78.349998,55.222504,6056600
2008-02-01,78.440002,78.500000,76.389999,78.120003,55.060387,3624100
2008-03-01,77.599998,79.830002,76.500000,78.139999,55.286182,2598500
2008-04-01,77.760002,78.239998,76.449997,77.570000,55.088097,5606400
2008-05-01,77.370003,77.650002,76.160004,76.500000,54.538273,4610800
2008-06-01,76.019997,76.889999,75.019997,76.250000,54.572525,3182500
2008-07-01,75.839996,76.639999,75.029999,75.970001,54.573299,4079700
2008-08-01,76.120003,76.809998,75.000000,76.300003,55.023964,4312100
2008-09-01,76.339996,78.050003,75.379997,75.620003,54.752670,7663400
2008-10-01,75.260002,76.739998,67.000000,73.129997,53.150383,7302800
2008-11-01,73.160004,75.940002,73.000000,75.690002,55.207340,5414100
2008-12-01,75.720001,79.220001,75.300003,78.970001,57.837059,6217300
2009-01-01,78.419998,79.160004,77.010002,77.330002,57.071926,6851200
2009-02-01,77.059998,77.690002,76.199997,76.589996,56.525795,7350900
2009-03-01,76.290001,78.000000,75.720001,77.150002,57.152706,11491200
2009-04-01,77.080002,77.449997,76.459999,77.230003,57.418087,8966900
2009-05-01,76.779999,77.879997,76.529999,77.480003,57.812313,8474500
2009-06-01,77.129997,77.839996,75.959999,77.690002,58.170853,9014300
2009-07-01,77.220001,78.480003,77.139999,78.440002,58.936268,10956600
2009-08-01,78.139999,78.980003,77.089996,78.970001,59.536762,11247600
2009-09-01,78.660004,79.550003,78.510002,79.500000,60.135715,11055800
2009-10-01,79.400002,79.809998,78.809998,79.470001,60.312355,16676900
2009-11-01,79.290001,80.330002,78.849998,80.250000,61.094887,10009000
2009-12-01,80.059998,80.099998,78.330002,78.589996,60.022186,13827000
2010-01-01,78.599998,79.660004,78.540001,79.599998,61.178085,14948800
2010-02-01,79.400002,79.720001,78.879997,79.610001,61.185749,11337000
2010-03-01,79.529999,79.699997,78.839996,79.199997,61.060913,14325800
2010-04-01,78.980003,79.849998,78.400002,79.800003,61.704853,11841400
2010-05-01,79.449997,81.339996,78.870003,80.459999,62.408264,15644100
2010-06-01,80.250000,81.449997,80.000000,81.379997,63.309879,19428600
2010-07-01,81.260002,81.959999,80.919998,81.849998,63.869240,18792800
2010-08-01,81.610001,82.980003,81.510002,82.889999,64.863213,19117600
2010-09-01,82.580002,82.830002,81.720001,82.660004,64.867165,12817000
2010-10-01,82.389999,83.059998,82.220001,82.699997,65.075905,15738800
2010-11-01,82.639999,83.000000,81.260002,81.910004,64.628677,16326800
2010-12-01,81.360001,81.519997,79.519997,80.269997,63.509743,18661200
2011-01-01,80.029999,80.540001,79.680000,80.339996,64.201897,17786000
2011-02-01,79.989998,80.349998,79.019997,80.349998,64.209877,17407800
