Date,Open,High,Low,Close,Adj Close,Volume
2004-09-01,50.369999,50.520000,49.970001,50.419998,38.116924,5400
2004-10-01,50.450001,53.130001,49.500000,50.349998,38.064003,263300
2004-11-01,50.700001,54.590000,49.330002,54.139999,40.929192,221200
2004-12-01,54.139999,54.139999,50.000000,52.410000,39.621342,142900
2005-01-01,51.980000,54.400002,49.840000,54.369999,41.270287,316400
2005-02-01,54.500000,64.599998,54.500000,63.369999,48.101860,920700
2005-03-01,63.400002,64.870003,58.680000,61.599998,46.758324,1410400
2005-04-01,62.410000,63.630001,56.250000,57.779999,43.858700,1065700
2005-05-01,57.830002,60.049999,54.139999,59.599998,45.240192,604100
2005-06-01,60.000000,66.330002,59.919998,63.759998,48.397896,717600
2005-07-01,64.250000,69.449997,64.120003,68.419998,51.935116,602900
2005-08-01,69.059998,73.129997,67.400002,72.699997,55.183926,979700
2005-09-01,74.000000,78.680000,72.320000,77.519997,58.842628,947900
2005-10-01,77.930000,78.300003,65.470001,70.580002,53.574718,1269500
2005-11-01,70.550003,74.199997,67.800003,71.739998,54.455223,708700
2005-12-01,72.660004,76.830002,70.949997,72.190002,54.796818,836000
2006-01-01,73.440002,83.260002,73.300003,82.550003,63.255516,1511700
2006-02-01,82.550003,82.970001,73.150002,75.050003,57.508480,1124200
2006-03-01,75.699997,80.120003,72.559998,78.589996,60.221069,977400
2006-04-01,79.449997,86.339996,78.370003,82.830002,63.470058,853200
2006-05-01,83.629997,87.230003,75.389999,80.339996,61.562042,1330200
2006-06-01,79.620003,82.570000,71.769997,82.000000,62.834064,1020000
2006-07-01,82.699997,85.169998,78.290001,84.669998,64.879974,895300
2006-08-01,84.919998,86.599998,80.610001,80.889999,61.983501,726800
2006-09-01,81.129997,82.930000,72.849998,77.900002,59.692356,1843400
2006-10-01,77.949997,83.800003,73.000000,81.529999,62.473904,936200
2006-11-01,81.550003,89.050003,79.980003,88.589996,67.883751,836500
2006-12-01,88.330002,90.800003,84.320000,85.010002,65.140526,818500
2007-01-01,83.120003,84.389999,77.860001,84.080002,65.102898,1229000
2007-02-01,84.550003,86.629997,82.300003,82.910004,64.196983,821900
2007-03-01,81.790001,89.260002,80.269997,88.160004,68.262039,764600
2007-04-01,88.410004,94.680000,88.139999,92.889999,71.924446,676400
2007-05-01,93.139999,100.809998,92.190002,99.790001,77.267113,1062500
2007-06-01,100.660004,104.540001,97.370003,101.129997,78.304665,926200
2007-07-01,101.849998,108.750000,99.180000,100.470001,77.793625,1171700
2007-08-01,101.059998,101.949997,91.169998,101.080002,78.265953,1569100
2007-09-01,101.080002,110.589996,99.839996,108.660004,84.135139,832400
2007-10-01,109.000000,114.099998,105.739998,111.029999,85.970207,880400
2007-11-01,109.139999,112.550003,101.230003,106.379997,82.369705,797500
2007-12-01,107.889999,116.010002,105.199997,113.500000,87.882736,595900
2008-01-01,114.900002,116.489998,88.430000,100.919998,78.801659,1254800
2008-02-01,102.459999,113.300003,96.510002,109.669998,85.633957,902200
2008-03-01,109.660004,111.639999,99.320000,106.940002,83.502274,1298900
2008-04-01,107.279999,123.150002,104.800003,118.800003,92.762978,1407900
2008-05-01,117.769997,132.740005,113.830002,124.970001,97.580696,1902600
2008-06-01,124.500000,131.029999,121.900002,129.270004,100.938286,1898000
2008-07-01,129.690002,132.289993,106.510002,110.599998,86.360146,4005900
2008-08-01,109.250000,112.989998,102.540001,109.849998,85.774498,4161300
2008-09-01,107.080002,107.080002,87.540001,93.230003,72.797081,4911500
2008-10-01,93.849998,93.849998,57.779999,74.540001,58.203297,5935700
2008-11-01,74.300003,77.970001,56.959999,72.440002,56.563549,3466400
2008-12-01,70.199997,73.059998,57.840000,67.360001,52.596905,5683100
2009-01-01,67.910004,75.639999,62.169998,66.080002,52.531528,8685000
2009-02-01,65.250000,71.690002,56.820000,58.000000,46.108185,4312200
2009-03-01,56.990002,66.089996,52.189999,60.240002,47.888916,4157900
2009-04-01,59.610001,67.889999,58.849998,65.900002,52.388432,4773400
2009-05-01,66.250000,75.510002,65.919998,75.160004,59.749866,6579100
2009-06-01,76.669998,79.540001,67.180000,69.970001,55.623974,6163800
2009-07-01,70.699997,75.480003,63.250000,73.849998,58.708443,5170800
2009-08-01,75.139999,78.070000,71.099998,74.739998,59.415966,2423200
2009-09-01,74.550003,82.930000,72.970001,79.809998,63.446449,2994200
2009-10-01,79.669998,89.440002,75.839996,81.209999,64.559402,5503100
2009-11-01,81.750000,86.959999,80.300003,83.589996,66.451431,10508400
2009-12-01,84.519997,85.349998,79.959999,83.370003,66.276543,5702300
2010-01-01,84.480003,89.180000,79.330002,79.800003,64.348289,3591800
2010-02-01,80.519997,83.940002,76.940002,81.739998,65.912636,3675900
2010-03-01,82.260002,86.529999,81.500000,84.010002,67.743095,2700900
2010-04-01,84.680000,91.230003,84.680000,87.769997,70.775047,2859500
2010-05-01,88.199997,89.330002,72.930000,77.290001,62.324299,6410300
2010-06-01,76.309998,83.059998,72.599998,72.839996,58.735947,2919100
